	データ名	グループ属性	L*(C)	a*(C)	b*(C)
  2860 	2860 (2022/01/25 15:59:39)	SCI	52.82	51.97	43.14
  2861 	2861 (2022/01/25 15:59:49)	SCI	53.00	52.38	43.44
  2862 	2862 (2022/01/25 15:59:58)	SCI	53.04	52.59	43.56
  2863 	h Mv Z1	SCI	25.85	4.89	-3.31
  2864 	2864 (2022/01/25 16:00:30)	SCI	25.74	4.93	-3.35
  2865 	2865 (2022/01/25 16:00:39)	SCI	25.68	4.93	-3.29
  2866 	2866 (2022/01/25 16:00:52)	SCI	25.76	4.81	-3.28
  2867 	2867 (2022/01/25 16:01:02)	SCI	25.69	4.78	-3.25
  2868 	2868 (2022/01/25 16:04:47)	SCI	25.76	4.72	-3.15
  2869 	h PYD Z1	SCI	79.86	16.47	83.58
  2870 	2870 (2022/01/25 16:05:28)	SCI	79.80	16.45	83.31
  2871 	2871 (2022/01/25 16:05:38)	SCI	79.81	16.42	83.35
  2872 	2872 (2022/01/25 16:05:49)	SCI	78.21	12.82	80.70
  2873 	2873 (2022/01/25 16:05:57)	SCI	78.19	12.78	80.66
  2874 	2874 (2022/01/25 16:06:07)	SCI	78.59	13.38	81.43
  2875 	h CdY Z1	SCI	80.35	20.20	88.52
  2876 	2876 (2022/01/25 16:06:42)	SCI	80.68	19.92	89.36
  2877 	2877 (2022/01/25 16:06:51)	SCI	80.38	20.06	88.97
  2878 	2878 (2022/01/25 16:07:02)	SCI	80.38	20.02	88.73
  2879 	2879 (2022/01/25 16:07:12)	SCI	80.43	20.00	88.86
  2880 	2880 (2022/01/25 16:07:21)	SCI	80.36	19.97	89.02
  2881 	h Gd Z1	SCI	74.79	1.75	39.72
  2882 	2882 (2022/01/25 16:07:55)	SCI	74.57	1.79	39.74
  2883 	2883 (2022/01/25 16:08:04)	SCI	74.58	1.75	39.73
  2884 	2884 (2022/01/25 16:08:20)	SCI	74.68	1.59	39.59
  2885 	2885 (2022/01/25 16:08:29)	SCI	74.51	1.68	39.75
  2886 	2886 (2022/01/25 16:08:38)	SCI	74.53	1.70	39.70
  2887 	e BU Z1	SCI	29.45	3.73	4.08
  2888 	2888 (2022/01/25 16:09:06)	SCI	29.42	3.78	4.19
  2889 	2889 (2022/01/25 16:09:15)	SCI	29.46	3.86	4.19
  2890 	2890 (2022/01/25 16:09:26)	SCI	29.43	3.70	4.09
  2891 	2891 (2022/01/25 16:09:36)	SCI	29.41	3.78	3.98
  2892 	2892 (2022/01/25 16:09:46)	SCI	29.48	3.82	4.30
  2893 	h MTW Z1	SCI	60.55	1.76	20.35
  2894 	2894 (2022/01/25 16:10:18)	SCI	60.64	1.80	20.54
  2895 	2895 (2022/01/25 16:10:27)	SCI	60.73	1.75	20.47
  2896 	2896 (2022/01/25 16:10:37)	SCI	60.45	1.73	20.29
  2897 	2897 (2022/01/25 16:10:46)	SCI	60.76	1.76	20.53
  2898 	2898 (2022/01/25 16:10:56)	SCI	60.68	1.76	20.46
  2899 	p BriP Z1	SCI	62.38	55.71	18.16
